,Rank,Name,Keywords,Corr,pvalue
0,1,mean,"distribution,location,raw,locdep",1.000,0.0
1,2,trimmed_mean_1,"distribution,location,raw,locdep",0.992,0.0
2,3,trimmed_mean_5,"distribution,location,raw,locdep",0.983,0.0
3,4,trimmed_mean_10,"distribution,location,raw,locdep",0.962,0.0
4,5,trimmed_mean_25,"distribution,location,raw,locdep",0.952,0.0
5,6,midhinge,"distribution,location,raw,locdep",0.949,0.0
6,7,trimmed_mean_50,"distribution,location,raw,locdep",0.936,0.0
7,8,median,"distribution,location,raw,locdep",0.920,0.0
8,9,DN_ProportionValues_geq0,"distribution,raw,locdep",0.889,0.0
9,10,skewness_pearson,"distribution,moment,shape,raw,locdep",0.873,9.816303346e-314
10,11,DN_ProportionValues_positive,"distribution,raw,locdep",0.872,1.5060871577253e-311
11,12,burstiness_Goh,"distribution,raw,locdep,spreaddep",0.745,8.545904608278313e-178
12,13,burstiness_Kim,"distribution,raw,locdep,spreaddep",0.717,2.417094375232739e-158
13,14,coeff_var_2,"distribution,spread,cv,raw,locdep,spreaddep",0.557,1.668226643273343e-82
14,15,harmonic_mean,"distribution,location,raw,locdep",0.529,3.350316240975884e-73
15,16,coeff_var_1,"distribution,spread,cv,raw,locdep,spreaddep",0.459,3.7624027642400466e-53
16,17,ST_LocalExtrema_n25_meanabsmin,"distribution,stationarity",0.421,3.2580270302835543e-44
17,18,ST_LocalExtrema_n50_meanabsmin,"distribution,stationarity",0.394,2.039166420498092e-38
18,19,quantile_1,distribution,0.393,3.1934597923672435e-38
19,20,ST_LocalExtrema_n25_medianabsmin,"distribution,stationarity",0.385,1.3203513059885937e-36
20,21,quantile_2,distribution,0.383,2.6122312551782287e-36
21,22,DN_RemovePoints_max_08_saturate_std,"correlation,outliers",0.382,3.519604864454137e-36
22,23,DN_RemovePoints_min_01_saturate_std,"correlation,outliers",0.371,4.818476720171478e-34
23,24,quantile_3,distribution,0.368,1.987150273395086e-33
24,25,miminmum,distribution,0.365,7.480002927583342e-33
25,26,ST_LocalExtrema_l100_meanabsmin,"distribution,stationarity",0.363,1.3896535880431942e-32
26,27,PH_Walker_prop_09_w_min,trend,0.361,4.579833659957546e-32
27,28,DN_RemovePoints_min_01_saturate_mean,"correlation,outliers",0.361,3.329998956986893e-32
28,29,DN_OutlierInclude_n_001_nfla,"distribution,outliers",0.358,1.3967577886398572e-31
29,30,MF_GARCHfit_ar_P1_Q1_lbq_pval_stde_5,model,0.357,2.2761884078851324e-31
30,31,MF_ExpSmoothing_05_best_acsnd0,model,0.357,2.186631798855664e-31
31,32,MF_arfit_1_8_sbc_minA,"modelfit,arfit",0.357,2.268040359134988e-31
32,33,MF_GARCHfit_ar_P1_Q1_engle_pval_stde_5,model,0.355,4.278635733101939e-31
33,34,DN_RemovePoints_min_01_saturate_sumabsacfdiff,"correlation,outliers",0.354,6.795745751132372e-31
34,35,MF_GARCHfit_ar_P1_Q1_engle_pval_stde_10,model,0.351,2.2326095265970553e-30
35,36,MF_AR_arcov_3_a3,"model,fit",0.351,2.33832365307796e-30
36,37,MF_GARCHfit_ar_P1_Q2_lbq_pval_stde_10,model,0.350,3.3192697398727366e-30
37,38,MF_GARCHfit_ar_P1_Q1_lbq_pval_stde_10,model,0.350,2.958015459740261e-30
38,39,MF_GARCHfit_ar_P1_Q2_lbq_pval_stde_5,model,0.349,5.1410218799509495e-30
39,40,MF_AR_arcov_4_a3,"model,fit",0.349,6.155158417977829e-30
40,41,MF_GARCHfit_ar_P1_Q2_engle_pval_stde_10,model,0.347,1.3012710593326552e-29
41,42,rms,"distribution,location,raw,locdep,spreaddep",0.347,1.0292205397846034e-29
42,43,MF_GARCHfit_ar_P1_Q1_minenglepval_stde,model,0.345,3.007174340528098e-29
43,44,MF_GARCHfit_ar_P1_Q2_minlbqpval_stde2,model,0.344,4.1159253111764807e-29
44,45,MF_GARCHfit_ar_P1_Q2_engle_pval_stde_5,model,0.343,5.46483525091357e-29
45,46,MF_AR_arcov_5_a3,"model,fit",0.343,5.0210766826965934e-29
46,47,ST_LocalExtrema_n100_meanabsmin,"distribution,stationarity",0.342,9.130614541698822e-29
47,48,MF_GARCHfit_ar_P1_Q2_minenglepval_stde,model,0.340,1.6421349980218441e-28
48,49,MF_GARCHfit_ar_P1_Q1_minlbqpval_stde2,model,0.340,1.9921769638869229e-28
49,50,ST_LocalExtrema_l100_medianabsmin,"distribution,stationarity",0.340,1.69777484639213e-28
50,51,FC_LocalSimple_median5_swm,forecasting,0.340,1.6643502273880775e-28
51,52,MF_FitSubsegments_ar_2_uniform_25_01_a_2_mean,"model,prediction",0.338,3.1405426696516236e-28
52,53,NL_MS_nlpe_fnn_mi_ac1n,"nonlinear,prediction,model,slow",0.337,8.9935787335442e-28
53,54,MF_FitSubsegments_ar_2_uniform_25_01_a_2_min,"model,prediction",0.336,8.240556430973198e-28
54,55,SP_Summaries_fft_logiqr,FourierSpectrum,0.336,8.456689624014494e-28
55,56,SP_Summaries_welch_rect_logiqr,FourierSpectrum,0.336,9.010392695535372e-28
56,57,MF_AR_arcov_2_a3,"model,fit",0.333,2.8812862594332695e-27
57,58,FC_LocalSimple_median7_swm,forecasting,0.333,2.7338515441971244e-27
58,59,quantile_4,distribution,0.333,2.179902622000989e-27
59,60,PP_Compare_sin1_statav4,"preprocessing,raw,stationarity",0.331,5.256888240721558e-27
60,61,PP_Compare_sin1_swms5_2,"preprocessing,raw,stationarity",0.329,1.4253933496725937e-26
61,62,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_expfit_b,"nonlinear,tstool",0.329,5.919267269583809e-26
62,63,CO_AddNoise_ac_quantiles_10_pcrossmean,"correlation,AMI,entropy",0.328,1.651440508567117e-26
63,64,CP_ML_StepDetect_l1pwc_005_medianstepint,stepdetection,0.326,3.865021676076435e-26
64,65,ST_LocalExtrema_n50_medianabsmin,"distribution,stationarity",0.326,3.238699778155573e-26
