,Name,pvalue,Corr,ColumnId,Keywords,Signedcorrvalue,Rank
0,mean,0.0,1.000,1,"distribution,location,raw,locdep",1.000,1
1,trimmed_mean_1,0.0,0.992,4,"distribution,location,raw,locdep",0.992,2
2,trimmed_mean_5,0.0,0.983,5,"distribution,location,raw,locdep",0.983,3
3,trimmed_mean_10,0.0,0.962,6,"distribution,location,raw,locdep",0.962,4
4,trimmed_mean_25,0.0,0.952,7,"distribution,location,raw,locdep",0.952,5
5,midhinge,0.0,0.949,9,"distribution,location,raw,locdep",0.949,6
6,trimmed_mean_50,0.0,0.936,8,"distribution,location,raw,locdep",0.936,7
7,median,0.0,0.920,3,"distribution,location,raw,locdep",0.920,8
8,DN_ProportionValues_geq0,0.0,0.889,90,"distribution,raw,locdep",0.889,9
9,skewness_pearson,9.816303346e-314,0.873,40,"distribution,moment,shape,raw,locdep",0.873,10
10,DN_ProportionValues_positive,1.5060871577253e-311,0.872,91,"distribution,raw,locdep",0.872,11
11,burstiness_Goh,8.545904608278313e-178,0.745,16,"distribution,raw,locdep,spreaddep",-0.745,12
12,burstiness_Kim,2.417094375232739e-158,0.717,17,"distribution,raw,locdep,spreaddep",-0.717,13
13,coeff_var_2,1.668226643273343e-82,0.557,43,"distribution,spread,cv,raw,locdep,spreaddep",-0.557,14
14,harmonic_mean,3.350316240975884e-73,0.529,2,"distribution,location,raw,locdep",0.529,15
15,coeff_var_1,3.7624027642400466e-53,0.459,42,"distribution,spread,cv,raw,locdep,spreaddep",0.459,16
16,ST_LocalExtrema_n25_meanabsmin,3.2580270302835543e-44,0.421,3419,"distribution,stationarity",-0.421,17
17,ST_LocalExtrema_n50_meanabsmin,2.039166420498092e-38,0.394,3441,"distribution,stationarity",-0.394,18
18,quantile_1,3.1934597923672435e-38,0.393,62,distribution,0.393,19
19,ST_LocalExtrema_n25_medianabsmin,1.3203513059885937e-36,0.385,3422,"distribution,stationarity",-0.385,20
20,quantile_2,2.6122312551782287e-36,0.383,63,distribution,0.383,21
21,DN_RemovePoints_max_08_saturate_std,3.519604864454137e-36,0.382,1835,"correlation,outliers",-0.382,22
22,DN_RemovePoints_min_01_saturate_std,4.818476720171478e-34,0.371,1787,"correlation,outliers",0.371,23
23,quantile_3,1.987150273395086e-33,0.368,64,distribution,0.368,24
24,miminmum,7.480002927583342e-33,0.365,14,distribution,0.365,25
25,ST_LocalExtrema_l100_meanabsmin,1.3896535880431942e-32,0.363,3397,"distribution,stationarity",-0.363,26
26,PH_Walker_prop_09_w_min,4.579833659957546e-32,0.361,2623,trend,0.361,27
27,DN_RemovePoints_min_01_saturate_mean,3.329998956986893e-32,0.361,1786,"correlation,outliers",-0.361,28
28,DN_OutlierInclude_n_001_nfla,1.3967577886398572e-31,0.358,3348,"distribution,outliers",-0.358,29
29,MF_GARCHfit_ar_P1_Q1_lbq_pval_stde_5,2.2761884078851324e-31,0.357,7385,model,0.357,30
30,MF_ExpSmoothing_05_best_acsnd0,2.186631798855664e-31,0.357,7353,model,-0.357,31
31,MF_arfit_1_8_sbc_minA,2.268040359134988e-31,0.357,6597,"modelfit,arfit",0.357,32
32,MF_GARCHfit_ar_P1_Q1_engle_pval_stde_5,4.278635733101939e-31,0.355,7380,model,0.355,33
33,DN_RemovePoints_min_01_saturate_sumabsacfdiff,6.795745751132372e-31,0.354,1785,"correlation,outliers",-0.354,34
34,MF_GARCHfit_ar_P1_Q1_engle_pval_stde_10,2.2326095265970553e-30,0.351,7381,model,0.351,35
35,MF_AR_arcov_3_a3,2.33832365307796e-30,0.351,3906,"model,fit",-0.351,36
36,MF_GARCHfit_ar_P1_Q2_lbq_pval_stde_10,3.3192697398727366e-30,0.350,7443,model,0.350,37
37,MF_GARCHfit_ar_P1_Q1_lbq_pval_stde_10,2.958015459740261e-30,0.350,7386,model,0.350,38
38,MF_GARCHfit_ar_P1_Q2_lbq_pval_stde_5,5.1410218799509495e-30,0.349,7442,model,0.349,39
39,MF_AR_arcov_4_a3,6.155158417977829e-30,0.349,3914,"model,fit",-0.349,40
40,MF_GARCHfit_ar_P1_Q2_engle_pval_stde_10,1.3012710593326552e-29,0.347,7438,model,0.347,41
41,rms,1.0292205397846034e-29,0.347,15,"distribution,location,raw,locdep,spreaddep",0.347,42
42,MF_GARCHfit_ar_P1_Q1_minenglepval_stde,3.007174340528098e-29,0.345,7382,model,0.345,43
43,MF_GARCHfit_ar_P1_Q2_minlbqpval_stde2,4.1159253111764807e-29,0.344,7444,model,0.344,44
44,MF_GARCHfit_ar_P1_Q2_engle_pval_stde_5,5.46483525091357e-29,0.343,7437,model,0.343,45
45,MF_AR_arcov_5_a3,5.0210766826965934e-29,0.343,3923,"model,fit",-0.343,46
46,ST_LocalExtrema_n100_meanabsmin,9.130614541698822e-29,0.342,3463,"distribution,stationarity",-0.342,47
47,MF_GARCHfit_ar_P1_Q2_minenglepval_stde,1.6421349980218441e-28,0.340,7439,model,0.340,48
48,MF_GARCHfit_ar_P1_Q1_minlbqpval_stde2,1.9921769638869229e-28,0.340,7387,model,0.340,49
49,ST_LocalExtrema_l100_medianabsmin,1.69777484639213e-28,0.340,3400,"distribution,stationarity",-0.340,50
50,FC_LocalSimple_median5_swm,1.6643502273880775e-28,0.340,3132,forecasting,0.340,51
51,MF_FitSubsegments_ar_2_uniform_25_01_a_2_mean,3.1405426696516236e-28,0.338,6960,"model,prediction",-0.338,52
52,NL_MS_nlpe_fnn_mi_ac1n,8.9935787335442e-28,0.337,6727,"nonlinear,prediction,model,slow",-0.337,53
53,MF_FitSubsegments_ar_2_uniform_25_01_a_2_min,8.240556430973198e-28,0.336,6962,"model,prediction",-0.336,54
54,SP_Summaries_fft_logiqr,8.456689624014494e-28,0.336,4586,FourierSpectrum,-0.336,55
55,SP_Summaries_welch_rect_logiqr,9.010392695535372e-28,0.336,4462,FourierSpectrum,-0.336,56
56,MF_AR_arcov_2_a3,2.8812862594332695e-27,0.333,3899,"model,fit",-0.333,57
57,FC_LocalSimple_median7_swm,2.7338515441971244e-27,0.333,3142,forecasting,0.333,58
58,quantile_4,2.179902622000989e-27,0.333,65,distribution,0.333,59
59,PP_Compare_sin1_statav4,5.256888240721558e-27,0.331,5774,"preprocessing,raw,stationarity",-0.331,60
60,PP_Compare_sin1_swms5_2,1.4253933496725937e-26,0.329,5780,"preprocessing,raw,stationarity",-0.329,61
61,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_expfit_b,5.919267269583809e-26,0.329,5542,"nonlinear,tstool",-0.329,62
62,CO_AddNoise_ac_quantiles_10_pcrossmean,1.651440508567117e-26,0.328,1182,"correlation,AMI,entropy",0.328,63
63,CP_ML_StepDetect_l1pwc_005_medianstepint,3.865021676076435e-26,0.326,7620,stepdetection,0.326,64
64,ST_LocalExtrema_n50_medianabsmin,3.238699778155573e-26,0.326,3444,"distribution,stationarity",-0.326,65
65,MF_CompareAR_1_10_all_where01max,1.1567221620232689e-25,0.323,7204,model,0.323,66
66,SP_Summaries_pgram_hamm_logiqr,8.982373414460651e-26,0.323,4338,FourierSpectrum,-0.323,67
67,FC_LocalSimple_median3_swm,1.4070336334624981e-25,0.322,3122,forecasting,0.322,68
68,MF_steps_ahead_ss_best_6_rmserr_1,1.8911365245704363e-25,0.321,6882,"model,prediction",0.321,69
69,MF_arfit_1_8_sbc_stdA,2.4671383522167446e-25,0.321,6599,"modelfit,arfit",-0.321,70
70,CO_AddNoise_ac_even_10_pcrossmean,2.2182637292230606e-25,0.321,1220,"correlation,AMI,entropy",0.321,71
71,CP_ML_StepDetect_l1pwc_005_meanstepint,6.195166934183212e-25,0.318,7615,stepdetection,0.318,72
72,PP_Compare_sin1_statav8,5.905477084026582e-25,0.318,5776,"preprocessing,raw,stationarity",-0.318,73
73,MF_compare_GARCH_ar_1_3_1_3_mean_meanlbqps,1.0533762940462034e-24,0.317,7494,model,0.317,74
74,DN_OutlierInclude_n_001_nflb,8.572312674326794e-25,0.317,3349,"distribution,outliers",0.317,75
75,SB_TransitionpAlphabet_40_1_maxeig_fexpb,8.994144106284971e-25,0.317,1474,"symbolic,transitionmat",0.317,76
76,ST_FitPolynomial_3,8.749994232003694e-25,0.317,1050,trend,-0.317,77
77,IN_AutoMutualInfoStats_diff_20_kraskov1_4_amiac1,2.6517093361016987e-24,0.314,447,"information,correlation,AMI",-0.314,78
78,MF_compare_GARCH_ar_1_3_1_3_mean_meanarchps,3.615881429892324e-24,0.313,7488,model,0.313,79
79,MF_FitSubsegments_arma_2_2_uniform_25_01_q_1_min,3.366692303550025e-24,0.313,6984,"model,prediction",-0.313,80
80,MF_arfit_1_8_sbc_A2,3.5336916301939246e-24,0.313,6591,"modelfit,arfit",0.313,81
81,CO_AddNoise_ac_even_10_pdec,3.253286600914834e-24,0.313,1202,"correlation,AMI,entropy",-0.313,82
82,ST_FitPolynomial_2,3.3841959525553e-24,0.313,1049,trend,-0.313,83
83,PP_Compare_sin1_swms5_1,5.4915087479380216e-24,0.312,5779,"preprocessing,raw,stationarity",-0.312,84
84,SC_FluctAnal_2_dfa_50_0_logi_linfitint,7.930959208227727e-24,0.311,4112,scaling,-0.311,85
85,DN_SimpleFit_exp1_r2_hsqrt,6.982600464734638e-24,0.311,3222,"distribution,gof,exp1",0.311,86
86,ST_FitPolynomial_4,7.783442895239392e-24,0.311,1051,trend,-0.311,87
87,MF_compare_GARCH_ar_1_3_1_3_min_meanlbqps,1.2001078468616096e-23,0.310,7492,model,0.310,88
88,MF_ExpSmoothing_05_best_minfpe,9.595523586382226e-24,0.310,7358,model,0.310,89
89,MF_ExpSmoothing_05_best_ac1n,9.610644429298002e-24,0.310,7349,model,-0.310,90
90,MF_CompareAR_1_10_05_where01max,1.0218380730322982e-23,0.310,7220,model,0.310,91
91,PP_Compare_sin1_statav10,1.0714297477593768e-23,0.310,5777,"preprocessing,raw,stationarity",-0.310,92
92,CO_Embed2_Basic_1_parabup05_n1,9.993760706926567e-24,0.310,1552,correlation,0.310,93
93,SY_SlidingWindow_m_s2_2,8.91253739143992e-24,0.310,562,stationarity,0.310,94
94,NL_TSTL_dimensions_50_ac_fnnmar_bc_minm1,5.1440348729226316e-23,0.309,5166,"nonlinear,tstool,scaling,dimension",0.309,95
95,DN_SimpleFit_exp1_r2_ks,1.232083432530946e-23,0.309,3217,"distribution,gof,exp1",0.309,96
96,MF_StateSpace_n4sid_1_05_1_acsnd0,1.720525790958209e-23,0.308,7100,model,-0.308,97
97,MF_arfit_1_8_sbc_sumsqA,1.9581789352074656e-23,0.308,6602,"modelfit,arfit",-0.308,98
98,MF_arfit_1_8_sbc_rmsA,1.961267744885262e-23,0.308,6601,"modelfit,arfit",-0.308,99
99,NL_TISEAN_c1_1_1_7_002_05_bestgoodness,2.904238865592785e-23,0.308,4994,"nonlinear,tisean,dimension,entropy",0.308,100
100,SC_FluctAnal_2_std_50_logi_linfitint,2.30438027845078e-23,0.308,4016,scaling,-0.308,101
101,SC_FluctAnal_2_range_50_logi_linfitint,2.0439210194458878e-23,0.308,3992,scaling,-0.308,102
102,PH_Walker_prop_11_w_min,2.0965536902293905e-23,0.308,2643,trend,0.308,103
103,MF_compare_GARCH_ar_1_3_1_3_max_meanlbqps,2.6750831176015746e-23,0.307,7493,model,0.307,104
104,MF_compare_GARCH_ar_1_3_1_3_min_meanarchps,3.5192096194688334e-23,0.307,7486,model,0.307,105
105,SP_Summaries_pgram_hamm_logstd,2.8273346614393123e-23,0.307,4344,FourierSpectrum,-0.307,106
106,SB_TransitionpAlphabet_40_1_maxeig_fexpa,2.6935498634185473e-23,0.307,1473,"symbolic,transitionmat",-0.307,107
107,EN_MS_LZcomplexity_9_diff,2.4576650290176543e-23,0.307,1078,"entropy,mex",0.307,108
108,StatAv4,3.022058113254781e-23,0.307,555,"stationarity,StatAv",0.307,109
109,DN_RemovePoints_min_01_saturate_ac3diff,4.0395829173241746e-23,0.306,1784,"correlation,outliers",-0.306,110
110,SB_TransitionpAlphabet_40_1_maxeig_fexpr2,3.747355770917511e-23,0.306,1475,"symbolic,transitionmat",-0.306,111
111,EN_MS_LZcomplexity_10_diff,4.552836066922897e-23,0.306,1079,"entropy,mex",0.306,112
112,EN_MS_LZcomplexity_7_diff,4.0292699706689106e-23,0.306,1076,"entropy,mex",0.306,113
113,MF_steps_ahead_arma_3_1_6_rmserr_1,5.899898533962821e-23,0.305,6905,"model,prediction",0.305,114
114,NL_TSTL_dimensions_50_ac_fnnmar_bc_lfitm1,1.9205135642333628e-22,0.305,5172,"nonlinear,tstool,scaling,dimension",-0.305,115
115,SC_FluctAnal_2_dfa_50_3_logi_stdssr,5.379935977555937e-23,0.305,4194,scaling,-0.305,116
116,MF_compare_GARCH_ar_1_3_1_3_max_meanarchps,8.294234268326821e-23,0.304,7487,model,0.304,117
117,NL_TSTL_dimensions_50_ac_fnnmar_bc_meanm1,3.6892848467188058e-22,0.304,5162,"nonlinear,tstool,scaling,dimension",0.304,118
118,SP_Summaries_pgram_hamm_linfitloglog_lf_sigma,7.703595461424684e-23,0.304,4386,FourierSpectrum,-0.304,119
119,SC_FluctAnal_2_dfa_50_3_logi_ratsplitminerr,1.208030046612363e-22,0.303,4192,scaling,0.303,120
120,SB_TransitionpAlphabet_40_1_maxeig_fexprmse,1.2217686394322217e-22,0.303,1476,"symbolic,transitionmat",0.303,121
121,EN_MS_LZcomplexity_8_diff,1.3028079219709438e-22,0.303,1077,"entropy,mex",0.303,122
122,EN_MS_LZcomplexity_6_diff,9.64925133088927e-23,0.303,1075,"entropy,mex",0.303,123
123,SY_SlidingWindow_m_ent2_10,9.754306014684556e-23,0.303,575,stationarity,0.303,124
124,StatAv6,1.0189060960605722e-22,0.303,557,"stationarity,StatAv",0.303,125
125,MF_CompareAR_1_10_all_maxonmed,1.410077483884019e-22,0.302,7198,model,-0.302,126
126,MF_steps_ahead_ar_best_6_rmserr_1,1.547892746911231e-22,0.302,6859,"model,prediction,arfit",0.302,127
127,PP_Compare_sin1_statav6,2.330951251922124e-22,0.301,5775,"preprocessing,raw,stationarity",-0.301,128
128,SC_FluctAnal_2_iqr_50_logi_linfitint,2.565905507771429e-22,0.301,4040,scaling,-0.301,129
129,ST_FitPolynomial_1,2.2161593558778944e-22,0.301,1048,trend,-0.301,130
130,SY_SlidingWindow_m_s2_10,1.8725221499243792e-22,0.301,563,stationarity,0.301,131
131,SY_TISEAN_nstat_z_4_1_3_max,3.385715690958569e-22,0.300,4840,"nonlinear,tisean,model,stationarity",0.300,132
132,CO_AddNoise_ac_std1_10_pcrossmean,2.6851917159493774e-22,0.300,1258,"correlation,AMI,entropy",0.300,133
133,EN_MS_LZcomplexity_5_diff,3.3200952454043814e-22,0.300,1074,"entropy,mex",0.300,134
134,WL_cwt_sym2_32_max_ssc,3.9837159073358207e-22,0.299,6457,"wavelet,cwt",0.299,135
135,WL_cwt_db3_32_max_ssc,4.498152341669621e-22,0.299,6431,"wavelet,cwt",0.299,136
136,MF_armax_1_1_05_1_acsnd0,5.597283135834256e-22,0.298,7282,model,-0.298,137
137,MF_StateSpace_n4sid_1_05_1_sbc1,6.11467929063363e-22,0.298,7106,model,0.298,138
138,MF_FitSubsegments_ar_2_uniform_25_01_a_2_max,5.10072553748627e-22,0.298,6961,"model,prediction",-0.298,139
139,PP_Compare_sin1_swms10_1,6.214537300104466e-22,0.298,5781,"preprocessing,raw,stationarity",-0.298,140
140,SY_SlidingWindow_m_ent5_2,5.813300956676851e-22,0.298,577,stationarity,0.298,141
141,MF_compare_GARCH_ar_1_3_1_3_mean_maxlbqps,8.0749392356522955e-22,0.297,7497,model,0.297,142
142,MF_compare_GARCH_ar_1_3_1_3_min_maxlbqps,9.157482256772484e-22,0.297,7495,model,0.297,143
143,MF_CompareAR_1_10_05_maxonmed,7.545897501732625e-22,0.297,7214,model,-0.297,144
144,MF_steps_ahead_ar_2_6_ac1_1,7.396566742840071e-22,0.297,6838,"model,prediction",-0.297,145
145,MF_arfit_1_8_sbc_maxImS,7.81747861766583e-22,0.297,6623,"modelfit,arfit",-0.297,146
146,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m1_scaling_exp,3.1177716059557044e-21,0.297,5213,"nonlinear,tstool,scaling,dimension",-0.297,147
147,SY_TISEAN_nstat_z_4_1_3_rangeeig,8.721797196488295e-22,0.297,4859,"nonlinear,tisean,model,stationarity",0.297,148
148,DN_RemovePoints_max_01_saturate_kurtosisrat,8.684663281496766e-22,0.297,1825,"correlation,outliers,distribution",-0.297,149
149,EN_MS_LZcomplexity_4_diff,9.365088765967463e-22,0.297,1073,"entropy,mex",0.297,150
150,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m1_minbad,4.384089782436516e-21,0.296,5206,"nonlinear,tstool,scaling,dimension",0.296,151
151,MF_AR_arcov_1_res_AC1,1.2197401147985624e-21,0.296,3896,"model,gof",-0.296,152
152,EN_MS_LZcomplexity_3_diff,1.0032900784380865e-21,0.296,1072,"entropy,mex",0.296,153
153,SY_SlidingWindow_m_ent5_10,9.836702366864225e-22,0.296,578,stationarity,0.296,154
